device_fk_id,latitude,longitude,time_stamp,sts,speed
25029,27.877958297729492,76.06095886230469,2021-10-23T14:08:02Z,2021-10-23T14:08:08.5984Z,0
25029,27.877958297729492,76.06095886230469,2021-10-23T14:08:06Z,2021-10-23T14:08:08.595096Z,0
25029,27.877958297729492,76.06095886230469,2021-10-23T14:08:04Z,2021-10-23T14:08:08.595365Z,0
25029,27.877958297729492,76.06095886230469,2021-10-23T14:08:00Z,2021-10-23T14:08:02.640873Z,0
25029,27.877958297729492,76.06095886230469,2021-10-23T14:07:56Z,2021-10-23T14:08:02.640311Z,0
25029,27.877958297729492,76.06095886230469,2021-10-23T14:07:58Z,2021-10-23T14:08:02.641567Z,0
25029,27.877958297729492,76.06095886230469,2021-10-23T14:07:50Z,2021-10-23T14:07:56.761991Z,0
25029,27.877958297729492,76.06095886230469,2021-10-23T14:07:54Z,2021-10-23T14:07:56.760146Z,0
25029,27.877958297729492,76.06095886230469,2021-10-23T14:07:52Z,2021-10-23T14:07:56.759684Z,0
25029,27.877958297729492,76.06095886230469,2021-10-23T14:07:46Z,2021-10-23T14:07:50.680316Z,0
25029,27.877958297729492,76.06095886230469,2021-10-23T14:07:48Z,2021-10-23T14:07:50.679381Z,0
25029,27.877958297729492,76.06095886230469,2021-10-23T14:07:44Z,2021-10-23T14:07:50.67886Z,0
25029,27.877958297729492,76.06095886230469,2021-10-23T14:07:40Z,2021-10-23T14:07:44.995395Z,0
25029,27.87795066833496,76.06095886230469,2021-10-23T14:07:38Z,2021-10-23T14:07:44.99411Z,0
25029,27.877958297729492,76.06095886230469,2021-10-23T14:07:42Z,2021-10-23T14:07:44.981273Z,0
25029,27.87791633605957,76.06098175048828,2021-10-23T14:07:34Z,2021-10-23T14:07:38.717098Z,0
25029,27.87791633605957,76.06098175048828,2021-10-23T14:07:32Z,2021-10-23T14:07:38.717101Z,0
25029,27.87791633605957,76.06098175048828,2021-10-23T14:07:36Z,2021-10-23T14:07:38.717671Z,0
25029,27.877931594848633,76.06095886230469,2021-10-23T14:07:28Z,2021-10-23T14:07:33.565979Z,7
25029,27.877962112426758,76.0609130859375,2021-10-23T14:07:26Z,2021-10-23T14:07:33.562416Z,0
25029,27.877912521362305,76.06098175048828,2021-10-23T14:07:30Z,2021-10-23T14:07:33.559698Z,0
25029,27.877962112426758,76.0609130859375,2021-10-23T14:07:24Z,2021-10-23T14:07:26.661071Z,0
25029,27.87786865234375,76.06095123291016,2021-10-23T14:06:58Z,2021-10-23T14:07:26.660889Z,0
25029,27.87786865234375,76.06095123291016,2021-10-23T14:06:56Z,2021-10-23T14:07:26.660317Z,0
25029,27.87786865234375,76.06095123291016,2021-10-23T14:07:02Z,2021-10-23T14:07:25.265418Z,0
25029,27.87786865234375,76.06095123291016,2021-10-23T14:07:04Z,2021-10-23T14:07:25.265132Z,0
25029,27.877962112426758,76.0609130859375,2021-10-23T14:07:16Z,2021-10-23T14:07:25.265045Z,0
25029,27.877962112426758,76.0609130859375,2021-10-23T14:07:14Z,2021-10-23T14:07:25.264607Z,0
25029,27.877958297729492,76.0609130859375,2021-10-23T14:07:08Z,2021-10-23T14:07:25.264521Z,0
25029,27.877962112426758,76.0609130859375,2021-10-23T14:07:22Z,2021-10-23T14:07:25.264434Z,0
25029,27.877962112426758,76.0609130859375,2021-10-23T14:07:10Z,2021-10-23T14:07:25.262936Z,0
25029,27.87795066833496,76.0609130859375,2021-10-23T14:07:06Z,2021-10-23T14:07:25.262574Z,3
25029,27.87786865234375,76.06095123291016,2021-10-23T14:07:00Z,2021-10-23T14:07:25.262482Z,0
25029,27.877962112426758,76.0609130859375,2021-10-23T14:07:18Z,2021-10-23T14:07:25.262389Z,0
